score,fold1,fold2,fold3,vars
0.6002985360117354,0.585,0.559,0.658,kr_base_rate+us_breakeven_10y+sp500+dxy+delta_us10y_t1
0.6002763234590529,0.551,0.61,0.64,vix+sp500+dxy+spread_10y_t1+delta_us10y_t1
0.6002732770666396,0.593,0.595,0.613,kr_treasury_3y+us_treasury_10y+vix+dxy+delta_us10y_t1
0.6002130803525515,0.581,0.58,0.64,kr_base_rate+us_breakeven_10y+vix+delta_us10y_t1+crisis_dummy
0.6001873862085394,0.559,0.614,0.627,kr_base_rate+vix+spread_10y_t1+delta_us10y_t1+crisis_dummy
0.600145694152368,0.568,0.61,0.623,us_fed_funds+us_breakeven_10y+vix+sp500+delta_us10y_t1
0.600109555234367,0.585,0.593,0.623,kr_treasury_3y+kr_base_rate+us_treasury_10y+vix+delta_us10y_t1
0.6000146296467668,0.555,0.608,0.637,sp500+dxy+spread_10y_t1+delta_us10y_t1+delta_vix_t1
0.5999750091374364,0.585,0.574,0.642,kr_treasury_3y+kr_base_rate+spread_10y_t1+delta_us10y_t1+delta_dxy_t1
0.5999187292135941,0.589,0.578,0.633,kr_treasury_3y+us_fed_funds+spread_10y_t1+delta_us10y_t1+crisis_dummy
0.599787664707993,0.576,0.576,0.647,vix+spread_10y_t1+delta_us10y_t1+delta_vix_t1+crisis_dummy
0.5997841831166635,0.589,0.559,0.652,us_fed_funds+sp500+dxy+delta_us10y_t1+delta_dxy_t1
0.5996695517221378,0.576,0.597,0.626,kr_treasury_3y+kr_base_rate+dxy+spread_10y_t1+delta_us10y_t1
0.5996691165232216,0.547,0.595,0.658,us_fed_funds+vix+dxy+delta_us10y_t1+delta_dxy_t1
0.5995787692282196,0.589,0.552,0.658,kr_treasury_3y+us_fed_funds+delta_us10y_t1+delta_dxy_t1+crisis_dummy
0.5995746261345375,0.547,0.612,0.64,dxy+spread_10y_t1+delta_us10y_t1+delta_vix_t1+crisis_dummy
