vars,dir_acc
delta_vix_t1+kospi+kr_base_rate+kr_cd_91d+kr_corp_aa3y+kr_cpi+kr_mfg_bsi_outlook+kr_treasury_3y+krw_usd+us_breakeven_10y+us_cpi+us_credit_spread+us_treasury_2y,0.5423162892791579
crisis_dummy+delta_dxy_t1+dxy+kospi+kr_cd_91d+kr_corp_aa3y+kr_cpi+kr_cpi_core+kr_mfg_bsi_outlook+kr_ppi+kr_treasury_5y+spread_10y_t1+vix,0.48939718482679195
delta_dxy_t1+delta_us10y_t1+kospi+kr_base_rate+kr_cd_91d+kr_corp_aa3y+kr_cpi_core+kr_treasury_1y+spread_10y_t1+us_breakeven_10y+us_credit_spread+us_treasury_10y+wti_oil,0.6110104874678207
delta_dxy_t1+kospi+kr_cd_91d+kr_corp_aa3y+kr_mfg_bsi_outlook+kr_treasury_1y+kr_treasury_3y+kr_treasury_5y+sp500+us_breakeven_10y+us_treasury_10y+us_treasury_2y+vix,0.49711853371750364
delta_dxy_t1+delta_us10y_t1+dxy+kospi+kr_cpi+kr_cpi_core+krw_usd+us_breakeven_10y+us_fed_funds+us_treasury_10y+us_treasury_2y+vix+wti_oil,0.5843615506591895
delta_us10y_t1+kospi+kr_base_rate+kr_cd_91d+kr_corp_aa3y+kr_industrial_prod+kr_mfg_bsi_outlook+kr_ppi+kr_treasury_1y+kr_treasury_5y+sp500+us_breakeven_10y+us_fed_funds,0.5908701279525224
delta_us10y_t1+kospi+kr_base_rate+kr_cd_91d+kr_cpi_core+kr_industrial_prod+kr_ppi+kr_treasury_1y+kr_treasury_3y+us_breakeven_10y+us_cpi+us_credit_spread+vix,0.5948301777144728
kr_base_rate+kr_corp_aa3y+kr_cpi+kr_cpi_core+kr_industrial_prod+kr_ppi+kr_treasury_1y+sp500+spread_10y_t1+us_breakeven_10y+us_cpi+us_fed_funds+wti_oil,0.49468380988040533
delta_vix_t1+kr_base_rate+kr_cd_91d+kr_corp_aa3y+kr_cpi_core+kr_industrial_prod+us_cpi+us_credit_spread+us_fed_funds+us_treasury_10y+us_treasury_2y+vix+wti_oil,0.5160115117502239
crisis_dummy+delta_vix_t1+kr_base_rate+kr_cd_91d+kr_cpi+kr_cpi_core+kr_industrial_prod+kr_treasury_3y+sp500+us_cpi+us_credit_spread+us_fed_funds+wti_oil,0.5119625714442049
delta_us10y_t1+dxy+kospi+kr_corp_aa3y+kr_cpi+kr_cpi_core+kr_ppi+kr_treasury_3y+sp500+us_breakeven_10y+us_credit_spread+vix+wti_oil,0.610335848505732
kr_cpi+kr_cpi_core+kr_mfg_bsi_outlook+kr_ppi+kr_treasury_1y+kr_treasury_3y+sp500+us_breakeven_10y+us_cpi+us_treasury_10y+us_treasury_2y+vix+wti_oil,0.5043106490303361
crisis_dummy+delta_dxy_t1+delta_us10y_t1+kospi+kr_cpi+kr_industrial_prod+kr_mfg_bsi_outlook+kr_ppi+kr_treasury_3y+kr_treasury_5y+krw_usd+sp500+us_breakeven_10y,0.5744919203819959
crisis_dummy+dxy+kr_base_rate+kr_cd_91d+kr_cpi+kr_cpi_core+kr_ppi+spread_10y_t1+us_cpi+us_credit_spread+us_fed_funds+us_treasury_10y+us_treasury_2y,0.5234162103712413
delta_us10y_t1+kospi+kr_cd_91d+kr_cpi+kr_cpi_core+kr_industrial_prod+kr_ppi+krw_usd+sp500+us_cpi+us_treasury_10y+us_treasury_2y+vix,0.571371401169579
crisis_dummy+delta_dxy_t1+delta_us10y_t1+delta_vix_t1+dxy+kr_corp_aa3y+kr_cpi+kr_mfg_bsi_outlook+kr_ppi+sp500+us_breakeven_10y+us_credit_spread+us_fed_funds,0.5833498713385065
crisis_dummy+delta_us10y_t1+delta_vix_t1+dxy+kr_cd_91d+kr_cpi_core+kr_industrial_prod+krw_usd+us_cpi+us_credit_spread+us_fed_funds+vix+wti_oil,0.5961015106944371
delta_vix_t1+kospi+kr_base_rate+kr_cd_91d+kr_corp_aa3y+kr_industrial_prod+kr_treasury_1y+krw_usd+sp500+spread_10y_t1+us_cpi+us_fed_funds+us_treasury_2y,0.5031328006002249
delta_us10y_t1+dxy+kospi+kr_base_rate+kr_cd_91d+kr_cpi+kr_cpi_core+kr_treasury_5y+krw_usd+sp500+us_fed_funds+us_treasury_10y+wti_oil,0.573231263835751
delta_dxy_t1+delta_us10y_t1+kr_cpi+kr_cpi_core+kr_industrial_prod+kr_mfg_bsi_outlook+kr_ppi+kr_treasury_5y+us_breakeven_10y+us_cpi+us_credit_spread+us_fed_funds+us_treasury_2y,0.557548280508014
crisis_dummy+delta_vix_t1+kr_base_rate+kr_cd_91d+kr_corp_aa3y+kr_ppi+krw_usd+sp500+spread_10y_t1+us_breakeven_10y+us_fed_funds+vix+wti_oil,0.5057015645092454
delta_dxy_t1+delta_us10y_t1+delta_vix_t1+dxy+kospi+kr_industrial_prod+kr_mfg_bsi_outlook+kr_ppi+kr_treasury_1y+kr_treasury_3y+krw_usd+us_cpi+us_credit_spread,0.6008567105363422
delta_us10y_t1+delta_vix_t1+kr_base_rate+kr_cd_91d+kr_cpi+kr_cpi_core+kr_industrial_prod+kr_mfg_bsi_outlook+kr_treasury_3y+sp500+us_credit_spread+us_fed_funds+us_treasury_2y,0.5693169901556304
crisis_dummy+delta_us10y_t1+delta_vix_t1+kospi+kr_cpi+kr_mfg_bsi_outlook+kr_ppi+kr_treasury_3y+krw_usd+us_breakeven_10y+us_cpi+us_fed_funds+vix,0.5975521100680304
crisis_dummy+delta_dxy_t1+delta_us10y_t1+kospi+kr_base_rate+kr_cd_91d+kr_corp_aa3y+kr_cpi_core+kr_industrial_prod+kr_mfg_bsi_outlook+kr_ppi+krw_usd+us_fed_funds,0.5902659674091044
delta_dxy_t1+kospi+kr_base_rate+kr_cd_91d+kr_cpi+kr_ppi+kr_treasury_1y+kr_treasury_3y+krw_usd+sp500+spread_10y_t1+us_treasury_10y+us_treasury_2y,0.5016600109918421
delta_vix_t1+kospi+kr_corp_aa3y+kr_cpi+kr_industrial_prod+kr_mfg_bsi_outlook+kr_treasury_3y+krw_usd+us_credit_spread+us_treasury_10y+us_treasury_2y+vix+wti_oil,0.5030748075603246
crisis_dummy+dxy+kr_base_rate+kr_cd_91d+kr_cpi+kr_ppi+kr_treasury_1y+sp500+us_breakeven_10y+us_credit_spread+us_fed_funds+us_treasury_10y+wti_oil,0.4963668724078247
crisis_dummy+delta_us10y_t1+kr_corp_aa3y+kr_cpi+kr_cpi_core+kr_mfg_bsi_outlook+kr_ppi+kr_treasury_1y+kr_treasury_3y+sp500+us_breakeven_10y+us_fed_funds+us_treasury_2y,0.5570149472863296
crisis_dummy+delta_dxy_t1+delta_us10y_t1+delta_vix_t1+kr_cd_91d+kr_cpi+kr_treasury_1y+kr_treasury_3y+kr_treasury_5y+krw_usd+sp500+us_breakeven_10y+us_treasury_2y,0.5797359334147812
crisis_dummy+delta_dxy_t1+delta_vix_t1+dxy+kr_base_rate+kr_ppi+kr_treasury_3y+krw_usd+sp500+us_cpi+us_treasury_10y+us_treasury_2y+vix,0.48926305118511565
crisis_dummy+delta_vix_t1+kospi+kr_corp_aa3y+kr_cpi_core+kr_industrial_prod+kr_treasury_3y+sp500+spread_10y_t1+us_cpi+us_credit_spread+us_treasury_10y+us_treasury_2y,0.4978462213937868
crisis_dummy+delta_vix_t1+kr_base_rate+kr_cpi_core+kr_industrial_prod+kr_mfg_bsi_outlook+kr_ppi+kr_treasury_3y+kr_treasury_5y+us_breakeven_10y+us_cpi+us_treasury_10y+vix,0.5004321264118462
delta_dxy_t1+delta_us10y_t1+delta_vix_t1+dxy+kospi+kr_cd_91d+kr_cpi+kr_cpi_core+krw_usd+sp500+us_breakeven_10y+us_credit_spread+vix,0.6088531500503677
crisis_dummy+delta_us10y_t1+dxy+kr_base_rate+kr_cd_91d+kr_cpi+kr_ppi+kr_treasury_3y+us_breakeven_10y+us_treasury_10y+us_treasury_2y+vix+wti_oil,0.565962147646286
crisis_dummy+delta_us10y_t1+delta_vix_t1+kospi+kr_cd_91d+kr_mfg_bsi_outlook+kr_treasury_1y+kr_treasury_3y+kr_treasury_5y+sp500+us_fed_funds+us_treasury_10y+vix,0.6170112712436607
delta_dxy_t1+dxy+kospi+kr_cd_91d+kr_corp_aa3y+kr_cpi_core+kr_industrial_prod+kr_mfg_bsi_outlook+spread_10y_t1+us_cpi+us_credit_spread+us_treasury_2y+wti_oil,0.4990692661898697
delta_dxy_t1+kospi+kr_cd_91d+kr_corp_aa3y+kr_cpi+kr_cpi_core+kr_industrial_prod+kr_treasury_5y+krw_usd+us_credit_spread+us_fed_funds+us_treasury_2y+wti_oil,0.4861351320189093
delta_dxy_t1+delta_vix_t1+kr_base_rate+kr_cpi_core+kr_ppi+kr_treasury_3y+krw_usd+sp500+spread_10y_t1+us_cpi+us_credit_spread+us_treasury_10y+wti_oil,0.49270616000273626
crisis_dummy+delta_vix_t1+kospi+kr_base_rate+kr_cd_91d+kr_cpi+kr_cpi_core+kr_treasury_3y+kr_treasury_5y+sp500+spread_10y_t1+us_credit_spread+us_treasury_2y,0.5121785311850954
crisis_dummy+delta_us10y_t1+delta_vix_t1+dxy+kospi+kr_cd_91d+kr_cpi+kr_mfg_bsi_outlook+kr_treasury_3y+kr_treasury_5y+us_cpi+us_fed_funds+us_treasury_10y,0.5900513920255275
crisis_dummy+delta_dxy_t1+delta_us10y_t1+kr_base_rate+kr_cd_91d+kr_mfg_bsi_outlook+kr_treasury_3y+krw_usd+us_breakeven_10y+us_fed_funds+us_treasury_10y+vix+wti_oil,0.589858657973677
crisis_dummy+delta_dxy_t1+delta_us10y_t1+delta_vix_t1+kr_base_rate+kr_cd_91d+kr_cpi+kr_treasury_1y+krw_usd+sp500+spread_10y_t1+us_treasury_2y+wti_oil,0.5931923569574201
crisis_dummy+delta_dxy_t1+delta_us10y_t1+dxy+kr_base_rate+kr_cpi+kr_mfg_bsi_outlook+kr_treasury_3y+kr_treasury_5y+spread_10y_t1+us_cpi+us_fed_funds+us_treasury_2y,0.5606003449395239
delta_vix_t1+kospi+kr_cpi+kr_industrial_prod+kr_mfg_bsi_outlook+kr_ppi+us_breakeven_10y+us_cpi+us_credit_spread+us_fed_funds+us_treasury_10y+us_treasury_2y+vix,0.4744770527435769
delta_dxy_t1+delta_vix_t1+kospi+kr_industrial_prod+kr_ppi+kr_treasury_3y+kr_treasury_5y+krw_usd+sp500+us_breakeven_10y+us_cpi+us_fed_funds+us_treasury_2y,0.4843464724644307
